kpi_delivered_total,kpi_throughput_per_100_steps,kpi_mean_backlog,kpi_peak_backlog,kpi_rest_ratio,kpi_human_utilization,kpi_drone_utilization,episode_fatigue_increase_total,episode_delivered_delta_total,kpi_mean_fatigue,kpi_peak_fatigue,kpi_fatigue_hi_ratio,r_delivery_per_step,r_fatigue_inc_per_step,r_backlog_per_step,r_fatigue_level_per_step,r_total_per_step
330,16.5,0.8405,3,0.0,0.917,0.331,2.0,330,0.9985,1.0,0.998,0.165,-0.0008,-0.42025,-1.997,-2.25305
330,16.5,0.8405,3,0.0,0.917,0.331,2.0,330,0.9985,1.0,0.998,0.165,-0.0008,-0.42025,-1.997,-2.25305
330,16.5,0.8405,3,0.0,0.917,0.331,2.0,330,0.9985,1.0,0.998,0.165,-0.0008,-0.42025,-1.997,-2.25305
330,16.5,0.8405,3,0.0,0.917,0.331,2.0,330,0.9985,1.0,0.998,0.165,-0.0008,-0.42025,-1.997,-2.25305
330,16.5,0.8405,3,0.0,0.917,0.331,2.0,330,0.9985,1.0,0.998,0.165,-0.0008,-0.42025,-1.997,-2.25305
330,16.5,0.8405,3,0.0,0.917,0.331,2.0,330,0.9985,1.0,0.998,0.165,-0.0008,-0.42025,-1.997,-2.25305
330,16.5,0.8405,3,0.0,0.917,0.331,2.0,330,0.9985,1.0,0.998,0.165,-0.0008,-0.42025,-1.997,-2.25305
330,16.5,0.8405,3,0.0,0.917,0.331,2.0,330,0.9985,1.0,0.998,0.165,-0.0008,-0.42025,-1.997,-2.25305
330,16.5,0.8405,3,0.0,0.917,0.331,2.0,330,0.9985,1.0,0.998,0.165,-0.0008,-0.42025,-1.997,-2.25305
330,16.5,0.8405,3,0.0,0.917,0.331,2.0,330,0.9985,1.0,0.998,0.165,-0.0008,-0.42025,-1.997,-2.25305
330,16.5,0.8405,3,0.0,0.917,0.331,2.0,330,0.9985,1.0,0.998,0.165,-0.0008,-0.42025,-1.997,-2.25305
330,16.5,0.8405,3,0.0,0.917,0.331,2.0,330,0.9985,1.0,0.998,0.165,-0.0008,-0.42025,-1.997,-2.25305
330,16.5,0.8405,3,0.0,0.917,0.331,2.0,330,0.9985,1.0,0.998,0.165,-0.0008,-0.42025,-1.997,-2.25305
330,16.5,0.8405,3,0.0,0.917,0.331,2.0,330,0.9985,1.0,0.998,0.165,-0.0008,-0.42025,-1.997,-2.25305
330,16.5,0.8405,3,0.0,0.917,0.331,2.0,330,0.9985,1.0,0.998,0.165,-0.0008,-0.42025,-1.997,-2.25305
330,16.5,0.8405,3,0.0,0.917,0.331,2.0,330,0.9985,1.0,0.998,0.165,-0.0008,-0.42025,-1.997,-2.25305
330,16.5,0.8405,3,0.0,0.917,0.331,2.0,330,0.9985,1.0,0.998,0.165,-0.0008,-0.42025,-1.997,-2.25305
330,16.5,0.8405,3,0.0,0.917,0.331,2.0,330,0.9985,1.0,0.998,0.165,-0.0008,-0.42025,-1.997,-2.25305
330,16.5,0.8405,3,0.0,0.917,0.331,2.0,330,0.9985,1.0,0.998,0.165,-0.0008,-0.42025,-1.997,-2.25305
330,16.5,0.8405,3,0.0,0.917,0.331,2.0,330,0.9985,1.0,0.998,0.165,-0.0008,-0.42025,-1.997,-2.25305
