num_healthy_workers,actor_manager_num_outstanding_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths,info/learner/shared_policy/num_agent_steps_trained,info/learner/shared_policy/num_grad_updates_lifetime,info/learner/shared_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/shared_policy/learner_stats/allreduce_latency,info/learner/shared_policy/learner_stats/grad_gnorm,info/learner/shared_policy/learner_stats/cur_kl_coeff,info/learner/shared_policy/learner_stats/cur_lr,info/learner/shared_policy/learner_stats/total_loss,info/learner/shared_policy/learner_stats/policy_loss,info/learner/shared_policy/learner_stats/vf_loss,info/learner/shared_policy/learner_stats/vf_explained_var,info/learner/shared_policy/learner_stats/kl,info/learner/shared_policy/learner_stats/entropy,info/learner/shared_policy/learner_stats/entropy_coeff
10,0,0,1266,1266,2000,2000,2000,2000,371.2310093675931,371.2310093675931,2000,2000,1266,2000,1266,False,1,00f74_00000,2026-03-23_18-31-47,1774287107,5.403371810913086,5.403371810913086,23532,DESKTOP-1HI26E8,127.0.0.1,5.403371810913086,1,2000,2000,1266,1266,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,5387.481,0.0,5387.481,575.412,4780.46,418.37,31.61,2000,2000,1266,1266,21.17142857142857,49.75714285714286,0.23142857142857146,0.2536638983878847,[],[],126.6,150.5,149.5,0.0,1.769493,0.19999999999999998,0.00020000000000000004,7.055793439547221,-0.031292117457681644,7.0842106771469116,0.0397892963886261,0.014374418523860868,0.6094026962916056,0.0
10,0,0,2584,2584,4000,4000,2000,2000,333.1302318117345,333.1302318117345,4000,4000,2584,2000,2584,False,2,00f74_00000,2026-03-23_18-31-53,1774287113,6.010652303695679,11.414024114608765,23532,DESKTOP-1HI26E8,127.0.0.1,11.414024114608765,2,4000,4000,2584,2584,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,5695.57,0.0,5695.57,555.586,5105.295,391.75,34.688,4000,4000,2584,2584,24.1125,49.8,0.29625,0.25506839276990717,[],[],119.81818181818181,465.5,164.5,0.0,4.888246,0.19999999999999996,0.0002,5.705881894718517,-0.04584550990751295,5.746355046647968,0.3263947757807645,0.026861750884122695,0.6108298706285882,0.0
10,0,0,3978,3978,6000,6000,2000,2000,337.6133768276205,337.6133768276205,6000,6000,3978,2000,3978,False,3,00f74_00000,2026-03-23_18-31-59,1774287119,5.937507152557373,17.351531267166138,23532,DESKTOP-1HI26E8,127.0.0.1,17.351531267166138,3,6000,6000,3978,3978,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,5771.692,0.0,5771.692,532.599,5204.485,384.284,34.608,6000,6000,3978,3978,24.52857142857143,49.800000000000004,0.25142857142857145,0.2548328564449717,[],[],126.72727272727273,795.5,164.5,0.0,6.263887,0.3,0.0002,5.5206357103405574,-0.04095839435714438,5.5540901747616855,0.12484041903958176,0.025013046023774552,0.5407030486699307,0.0
10,0,0,5420,5420,8000,8000,2000,2000,322.897584063534,322.897584063534,8000,8000,5420,2000,5420,False,4,00f74_00000,2026-03-23_18-32-06,1774287126,6.21120810508728,23.562739372253418,23532,DESKTOP-1HI26E8,127.0.0.1,23.562739372253418,4,8000,8000,5420,5420,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,5877.247,0.0,5877.247,520.801,5322.783,375.743,33.663,8000,8000,5420,5420,25.1,49.8,0.3225,0.25467147044455296,[],[],120.16666666666667,1140.5,179.5,0.0,10.020873,0.45000000000000007,0.00020000000000000006,4.878941164414088,-0.03504533449757016,4.907968187332154,0.2712183460593224,0.013374030614633941,0.5025560956034395,0.0
10,0,0,6890,6890,10000,10000,2000,2000,310.8608033753746,310.8608033753746,10000,10000,6890,2000,6890,False,5,00f74_00000,2026-03-23_18-32-12,1774287132,6.4337477684021,29.996487140655518,23532,DESKTOP-1HI26E8,127.0.0.1,29.996487140655518,5,10000,10000,6890,6890,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,5988.547,0.0,5988.547,542.582,5413.131,369.472,32.834,10000,10000,6890,6890,25.3125,49.8,0.28750000000000003,0.2555874450415242,[],[],122.5,1500.5,179.5,0.0,11.034364,0.45000000000000007,0.00020000000000000006,4.776759872833888,-0.03269420344440732,4.804850787586636,0.2551687137948142,0.010229570580284215,0.4490241816474332,0.0
10,0,0,8393,8393,12000,12000,2000,2000,343.70794743255703,343.70794743255703,12000,12000,8393,2000,8393,False,6,00f74_00000,2026-03-23_18-32-18,1774287138,5.818893671035767,35.815380811691284,23532,DESKTOP-1HI26E8,127.0.0.1,35.815380811691284,6,12000,12000,8393,8393,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,5960.272,0.0,5960.272,535.543,5392.308,370.899,32.421,12000,12000,8393,8393,25.25714285714286,49.82857142857143,0.33428571428571424,0.2544664666061832,[],[],125.25,1860.5,179.5,0.0,13.362777,0.45000000000000007,0.00020000000000000006,4.275061321920819,-0.022321550657377683,4.294556835624907,0.29318572845723895,0.006280147759551053,0.41440232859717474,0.0
10,0,0,9894,9894,14000,14000,2000,2000,326.6458087464641,326.6458087464641,14000,14000,9894,2000,9894,False,7,00f74_00000,2026-03-23_18-32-24,1774287144,6.1414477825164795,41.956828594207764,23532,DESKTOP-1HI26E8,127.0.0.1,41.956828594207764,7,14000,14000,9894,9894,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,5983.496,0.0,5983.496,545.694,5405.164,370.017,32.638,14000,14000,9894,9894,25.65,49.8625,0.30625,0.2551141914997557,[],[],125.08333333333333,2220.5,179.5,0.0,15.161759,0.45000000000000007,0.00020000000000000006,4.088824411233266,-0.022214859032020386,4.10815300544103,0.34294079393148424,0.006413962327901067,0.3667290837400489,0.0
10,0,0,11406,11406,16000,16000,2000,2000,315.89458983488134,315.89458983488134,16000,16000,11406,2000,11406,False,8,00f74_00000,2026-03-23_18-32-30,1774287150,6.346510648727417,48.30333924293518,23532,DESKTOP-1HI26E8,127.0.0.1,48.30333924293518,8,16000,16000,11406,11406,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,6026.962,0.0,6026.962,553.174,5441.303,367.559,32.485,16000,16000,11406,11406,25.887500000000003,49.8125,0.32499999999999996,0.2554347826086957,[],[],126.0,2580.5,179.5,0.0,14.938062,0.45000000000000007,0.00020000000000000006,3.8665262122948962,-0.02349747214171253,3.88754829565684,0.3581456301940812,0.005500868074806122,0.35646313255031903,0.0
10,0,0,12925,12925,18000,18000,2000,2000,306.8106216663554,306.8106216663554,18000,18000,12925,2000,12925,False,9,00f74_00000,2026-03-23_18-32-37,1774287157,6.5297205448150635,54.833059787750244,23532,DESKTOP-1HI26E8,127.0.0.1,54.833059787750244,9,18000,18000,12925,12925,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,6081.597,0.0,6081.597,553.726,5495.683,363.922,32.188,18000,18000,12925,12925,26.025000000000002,49.8,0.29625,0.2544272105520273,[],[],126.58333333333333,2940.5,179.5,0.0,18.250916,0.45000000000000007,0.00020000000000000006,3.461051424344381,-0.016624162834988156,3.4755672580666013,0.4384439360764292,0.004685151854533211,0.330711889349752,0.0
10,0,0,14436,14436,20000,20000,2000,2000,301.39849833369755,301.39849833369755,20000,20000,14436,2000,14436,False,10,00f74_00000,2026-03-23_18-32-44,1774287164,6.64235520362854,61.475414991378784,23532,DESKTOP-1HI26E8,127.0.0.1,61.475414991378784,10,20000,20000,14436,14436,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,6137.011,0.0,6137.011,551.416,5552.972,360.168,32.524,20000,20000,14436,14436,25.425,49.725,0.29000000000000004,0.25497679531021006,[],[],125.91666666666667,3300.5,179.5,0.0,20.941671,0.22500000000000003,0.00020000000000000006,3.4645717137389713,-0.01651478428522953,3.4797501027584077,0.4319328784942627,0.0059395229996476295,0.32214594607551894,0.0
