num_healthy_workers,actor_manager_num_outstanding_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths,info/learner/shared_policy/num_agent_steps_trained,info/learner/shared_policy/num_grad_updates_lifetime,info/learner/shared_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/shared_policy/learner_stats/allreduce_latency,info/learner/shared_policy/learner_stats/grad_gnorm,info/learner/shared_policy/learner_stats/cur_kl_coeff,info/learner/shared_policy/learner_stats/cur_lr,info/learner/shared_policy/learner_stats/total_loss,info/learner/shared_policy/learner_stats/policy_loss,info/learner/shared_policy/learner_stats/vf_loss,info/learner/shared_policy/learner_stats/vf_explained_var,info/learner/shared_policy/learner_stats/kl,info/learner/shared_policy/learner_stats/entropy,info/learner/shared_policy/learner_stats/entropy_coeff
6,0,0,20000,20000,4000,4000,4000,4000,50.87645320802702,50.87645320802702,4000,4000,20000,4000,20000,False,1,83e7d_00000,2026-03-04_09-11-45,1772611905,78.62616419792175,78.62616419792175,60540,DESKTOP-1HI26E8,127.0.0.1,78.62616419792175,1,4000,4000,20000,20000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,78621.833,0.0,78621.833,10370.136,68224.174,58.63,23.519,4000,4000,20000,20000,28.143,42.632999999999996,0.3066,0.17636174890083048,[],[],127.38853503184713,2355.5,2354.5,0.0,0.882999,0.2,0.0003,9.946877879650982,-0.003084608779393627,9.948855056074269,0.002174347411295411,0.005537173946641002,0.7942843009711831,0.0
6,0,0,40000,40000,8000,8000,4000,4000,50.24005405121782,50.24005405121782,8000,8000,40000,4000,40000,False,2,83e7d_00000,2026-03-04_09-13-04,1772611984,79.62826418876648,158.25442838668823,60540,DESKTOP-1HI26E8,127.0.0.1,158.25442838668823,2,8000,8000,40000,40000,-7376.000000000021,-8206.999999999922,-7882.999999999983,1000.0,6000,0,6,-7376.000000000021,-8206.999999999922,-7882.999999999983,6,79119.791,0.0,79119.791,10026.332,69063.67,57.918,23.282,8000,8000,40000,40000,26.389898989898995,42.680808080808085,0.3039393939393939,0.17639758602142577,"[-7376.000000000021, -8168.4999999999945, -7637.999999999944, -8206.999999999922, -7987.000000000041, -7921.499999999978]","[1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,7065.5,2354.5,0.0,2.5944757,0.2,0.0003,9.867318565425347,-0.006334775611619819,9.871907768128025,0.0028322366645634808,0.008727868353505168,0.7812244574102374,0.0
6,0,0,60000,60000,12000,12000,4000,4000,49.51156760599912,49.51156760599912,12000,12000,60000,4000,60000,False,3,83e7d_00000,2026-03-04_09-14-25,1772612065,80.79619884490967,239.0506272315979,60540,DESKTOP-1HI26E8,127.0.0.1,239.0506272315979,3,12000,12000,60000,60000,-7196.500000000025,-8206.999999999922,-7715.399999999984,1000.0,10000,0,4,-7196.500000000025,-8206.999999999922,-7715.399999999984,4,79676.261,0.0,79676.261,9694.385,69952.506,57.182,23.028,12000,12000,60000,60000,23.86237623762376,42.60693069306934,0.3064356435643564,0.17635806081829486,"[-7376.000000000021, -8168.4999999999945, -7637.999999999944, -8206.999999999922, -7987.000000000041, -7921.499999999978, -7465.999999999947, -7551.499999999985, -7641.999999999981, -7196.500000000025]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,11775.5,2354.5,0.0,2.3874722,0.2,0.0003,9.906923276451742,-0.009618680013023365,9.914431673199761,-0.005531890895969042,0.010551448234089673,0.77441908195773,0.0
6,0,0,80000,80000,16000,16000,4000,4000,49.45442132044653,49.45442132044653,16000,16000,80000,4000,80000,False,4,83e7d_00000,2026-03-04_09-15-46,1772612146,80.88856863975525,319.93919587135315,60540,DESKTOP-1HI26E8,127.0.0.1,319.93919587135315,4,16000,16000,80000,80000,-7196.500000000025,-8206.999999999922,-7658.24999999999,1000.0,12000,0,2,-7196.500000000025,-8206.999999999922,-7658.24999999999,2,79977.835,0.0,79977.835,9612.874,70332.169,56.873,25.791,16000,16000,80000,80000,23.696078431372545,42.55882352941179,0.30058823529411766,0.1755773633341955,"[-7376.000000000021, -8168.4999999999945, -7637.999999999944, -8206.999999999922, -7987.000000000041, -7921.499999999978, -7465.999999999947, -7551.499999999985, -7641.999999999981, -7196.500000000025, -7306.500000000045, -7438.500000000005]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,16485.5,2354.5,0.0,3.1486268,0.2,0.0003,9.908651975157914,-0.011966075783994863,9.918467676968584,0.012855042963270929,0.010751854328459435,0.7566387276234394,0.0
6,0,0,100000,100000,20000,20000,4000,4000,49.42423365032889,49.42423365032889,20000,20000,100000,4000,100000,False,5,83e7d_00000,2026-03-04_09-17-07,1772612227,80.93996167182922,400.8791575431824,60540,DESKTOP-1HI26E8,127.0.0.1,400.8791575431824,5,20000,20000,100000,100000,-6629.999999999979,-8206.999999999922,-7399.8611111110995,1000.0,18000,0,6,-6629.999999999979,-8206.999999999922,-7399.8611111110995,6,80168.659,0.0,80168.659,9521.696,70614.075,56.646,26.085,20000,20000,100000,100000,23.639215686274508,42.567647058823546,0.3040196078431372,0.17305933120683548,"[-7376.000000000021, -8168.4999999999945, -7637.999999999944, -8206.999999999922, -7987.000000000041, -7921.499999999978, -7465.999999999947, -7551.499999999985, -7641.999999999981, -7196.500000000025, -7306.500000000045, -7438.500000000005, -6884.499999999991, -7011.499999999982, -6641.999999999987, -7252.499999999962, -6629.999999999979, -6877.999999999995]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,21195.5,2354.5,0.0,21.679678,0.2,0.0003,9.162093123559487,-0.014232927489226917,9.174137500997814,-0.010950982304895,0.010942752332522253,0.7484341816284601,0.0
6,0,0,120000,120000,24000,24000,4000,4000,48.91088818822505,48.91088818822505,24000,24000,120000,4000,120000,False,6,83e7d_00000,2026-03-04_09-18-29,1772612309,81.79116559028625,482.6703231334686,60540,DESKTOP-1HI26E8,127.0.0.1,482.6703231334686,6,24000,24000,120000,120000,-6629.999999999979,-8206.999999999922,-7338.272727272721,1000.0,22000,0,4,-6629.999999999979,-8206.999999999922,-7338.272727272721,4,80437.446,0.0,80437.446,9399.826,71004.949,56.334,25.58,24000,24000,120000,120000,27.276699029126213,42.60582524271843,0.2887378640776698,0.16732514074587,"[-7376.000000000021, -8168.4999999999945, -7637.999999999944, -8206.999999999922, -7987.000000000041, -7921.499999999978, -7465.999999999947, -7551.499999999985, -7641.999999999981, -7196.500000000025, -7306.500000000045, -7438.500000000005, -6884.499999999991, -7011.499999999982, -6641.999999999987, -7252.499999999962, -6629.999999999979, -6877.999999999995, -7387.500000000004, -6852.500000000032, -7040.000000000037, -6964.4999999999945]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,25905.5,2354.5,0.0,33.64499,0.2,0.0003,8.390845550448018,-0.016202590173711475,8.404574924922546,0.148317140201601,0.012366096387029983,0.7408015341389205,0.0
6,0,0,140000,140000,28000,28000,4000,4000,50.512604810085094,50.512604810085094,28000,28000,140000,4000,140000,False,7,83e7d_00000,2026-03-04_09-19-48,1772612388,79.19919013977051,561.8695132732391,60540,DESKTOP-1HI26E8,127.0.0.1,561.8695132732391,7,28000,28000,140000,140000,-6487.499999999962,-8206.999999999922,-7299.270833333326,1000.0,24000,0,2,-6487.499999999962,-8206.999999999922,-7299.270833333326,2,80258.976,0.0,80258.976,9651.055,70575.981,56.677,24.931,28000,28000,140000,140000,29.049999999999997,43.07400000000001,0.25980000000000003,0.15539570102589154,"[-7376.000000000021, -8168.4999999999945, -7637.999999999944, -8206.999999999922, -7987.000000000041, -7921.499999999978, -7465.999999999947, -7551.499999999985, -7641.999999999981, -7196.500000000025, -7306.500000000045, -7438.500000000005, -6884.499999999991, -7011.499999999982, -6641.999999999987, -7252.499999999962, -6629.999999999979, -6877.999999999995, -7387.500000000004, -6852.500000000032, -7040.000000000037, -6964.4999999999945, -6487.499999999962, -7253.000000000018]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,30615.5,2354.5,0.0,33.417927,0.2,0.0003,8.378737458048858,-0.019997055210359,8.395845574380992,0.08338272189385319,0.014444711598033674,0.7224524438128097,0.0
6,0,0,160000,160000,32000,32000,4000,4000,51.193038915298615,51.193038915298615,32000,32000,160000,4000,160000,False,8,83e7d_00000,2026-03-04_09-21-06,1772612466,78.14614081382751,640.0156540870667,60540,DESKTOP-1HI26E8,127.0.0.1,640.0156540870667,8,32000,32000,160000,160000,-6290.000000000052,-8206.999999999922,-7197.599999999996,1000.0,30000,0,6,-6290.000000000052,-8206.999999999922,-7197.599999999996,6,79993.557,0.0,79993.557,9761.773,70200.274,56.98,24.626,32000,32000,160000,160000,30.163636363636368,42.739393939393956,0.29464646464646466,0.1553665625478034,"[-7376.000000000021, -8168.4999999999945, -7637.999999999944, -8206.999999999922, -7987.000000000041, -7921.499999999978, -7465.999999999947, -7551.499999999985, -7641.999999999981, -7196.500000000025, -7306.500000000045, -7438.500000000005, -6884.499999999991, -7011.499999999982, -6641.999999999987, -7252.499999999962, -6629.999999999979, -6877.999999999995, -7387.500000000004, -6852.500000000032, -7040.000000000037, -6964.4999999999945, -6487.499999999962, -7253.000000000018, -6855.0000000000655, -6771.999999999967, -6290.000000000052, -6866.999999999968, -7167.999999999962, -6793.500000000038]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,35325.5,2354.5,0.0,35.96856,0.2,0.0003,8.161992737593923,-0.020254610394742616,8.179452990675681,0.13351701880210018,0.013971734808878642,0.7078298364981471,0.0
6,0,0,180000,180000,36000,36000,4000,4000,51.752971051015585,51.752971051015585,36000,36000,180000,4000,180000,False,9,83e7d_00000,2026-03-04_09-22-24,1772612544,77.30023217201233,717.315886259079,60540,DESKTOP-1HI26E8,127.0.0.1,717.315886259079,9,36000,36000,180000,180000,-6007.499999999999,-8206.999999999922,-7089.558823529405,1000.0,34000,0,4,-6007.499999999999,-8206.999999999922,-7089.558823529405,4,79693.189,0.0,79693.189,9935.417,69726.305,57.367,24.617,36000,36000,180000,180000,25.39895833333333,42.59270833333334,0.2790625,0.15355805243445694,"[-7376.000000000021, -8168.4999999999945, -7637.999999999944, -8206.999999999922, -7987.000000000041, -7921.499999999978, -7465.999999999947, -7551.499999999985, -7641.999999999981, -7196.500000000025, -7306.500000000045, -7438.500000000005, -6884.499999999991, -7011.499999999982, -6641.999999999987, -7252.499999999962, -6629.999999999979, -6877.999999999995, -7387.500000000004, -6852.500000000032, -7040.000000000037, -6964.4999999999945, -6487.499999999962, -7253.000000000018, -6855.0000000000655, -6771.999999999967, -6290.000000000052, -6866.999999999968, -7167.999999999962, -6793.500000000038, -6007.499999999999, -6500.999999999975, -6458.9999999999545, -6149.49999999996]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,40035.5,2354.5,0.0,33.538868,0.2,0.0003,8.267375517093958,-0.019200203745010965,8.283867443392484,0.2058267789281857,0.013541381095196276,0.6783102252301138,0.0
6,0,0,200000,200000,40000,40000,4000,4000,47.75786404577206,47.75786404577206,40000,40000,200000,4000,200000,False,10,83e7d_00000,2026-03-04_09-23-48,1772612628,83.7718813419342,801.0877676010132,60540,DESKTOP-1HI26E8,127.0.0.1,801.0877676010132,10,40000,40000,200000,200000,-6007.499999999999,-8206.999999999922,-7041.722222222216,1000.0,36000,0,2,-6007.499999999999,-8206.999999999922,-7041.722222222216,2,80099.454,0.0,80099.454,10017.081,70046.643,57.105,28.865,40000,40000,200000,200000,31.69622641509434,42.8933962264151,0.26037735849056604,0.1611608336175351,"[-7376.000000000021, -8168.4999999999945, -7637.999999999944, -8206.999999999922, -7987.000000000041, -7921.499999999978, -7465.999999999947, -7551.499999999985, -7641.999999999981, -7196.500000000025, -7306.500000000045, -7438.500000000005, -6884.499999999991, -7011.499999999982, -6641.999999999987, -7252.499999999962, -6629.999999999979, -6877.999999999995, -7387.500000000004, -6852.500000000032, -7040.000000000037, -6964.4999999999945, -6487.499999999962, -7253.000000000018, -6855.0000000000655, -6771.999999999967, -6290.000000000052, -6866.999999999968, -7167.999999999962, -6793.500000000038, -6007.499999999999, -6500.999999999975, -6458.9999999999545, -6149.49999999996, -6372.499999999999, -6084.500000000024]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,44745.5,2354.5,0.0,31.54306,0.2,0.0003,8.213391363747307,-0.020047275520932332,8.230631850175797,0.09230804029543688,0.01403401670221492,0.644974713986087,0.0
