num_healthy_workers,actor_manager_num_outstanding_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths,info/learner/shared_policy/num_agent_steps_trained,info/learner/shared_policy/num_grad_updates_lifetime,info/learner/shared_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/shared_policy/learner_stats/allreduce_latency,info/learner/shared_policy/learner_stats/grad_gnorm,info/learner/shared_policy/learner_stats/cur_kl_coeff,info/learner/shared_policy/learner_stats/cur_lr,info/learner/shared_policy/learner_stats/total_loss,info/learner/shared_policy/learner_stats/policy_loss,info/learner/shared_policy/learner_stats/vf_loss,info/learner/shared_policy/learner_stats/vf_explained_var,info/learner/shared_policy/learner_stats/kl,info/learner/shared_policy/learner_stats/entropy,info/learner/shared_policy/learner_stats/entropy_coeff
6,0,0,20000,20000,4000,4000,4000,4000,42.52488396067447,42.52488396067447,4000,4000,20000,4000,20000,False,1,c4678_00000,2026-03-10_11-01-17,1773136877,94.06974744796753,94.06974744796753,38968,DESKTOP-1HI26E8,127.0.0.1,94.06974744796753,1,4000,4000,20000,20000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,94062.573,0.0,94062.573,17322.213,76698.133,52.153,40.936,4000,4000,20000,20000,33.37226890756303,44.59915966386557,0.28075630252100836,0.20244937251891473,[],[],127.38853503184713,2355.5,2354.5,0.0,2.0145438,0.2,0.0003,9.698271751606287,-0.004654293346778349,9.701509889371836,-0.009638718169206266,0.007080768512970723,0.7998163348676799,0.0
6,0,0,40000,40000,8000,8000,4000,4000,45.11425387944984,45.11425387944984,8000,8000,40000,4000,40000,False,2,c4678_00000,2026-03-10_11-02-45,1773136965,88.66777420043945,182.73752164840698,38968,DESKTOP-1HI26E8,127.0.0.1,182.73752164840698,2,8000,8000,40000,40000,-2018.54526900756,-2481.3811333871463,-2225.2510914870913,1000.0,6000,0,6,-2018.54526900756,-2481.3811333871463,-2225.2510914870913,6,91363.173,0.0,91363.173,16657.559,74672.685,53.567,30.522,8000,8000,40000,40000,35.638053097345136,45.839823008849564,0.29398230088495575,0.2502788453640337,"[-2018.54526900756, -2040.096684716757, -2292.3704302673204, -2255.321554427532, -2481.3811333871463, -2263.7914771162305]","[1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,7065.5,2354.5,0.0,16.440563,0.2,0.0003,7.786514887738886,-0.006380910804542671,7.791411346386952,-0.007965320412014193,0.007422265338905685,0.7868780980697356,0.0
6,0,0,60000,60000,12000,12000,4000,4000,76.81902576679884,76.81902576679884,12000,12000,60000,4000,60000,False,3,c4678_00000,2026-03-10_11-03-38,1773137018,52.07557916641235,234.81310081481934,38968,DESKTOP-1HI26E8,127.0.0.1,234.81310081481934,3,12000,12000,60000,60000,-2018.54526900756,-2481.3811333871463,-2202.9456683045855,1000.0,10000,0,4,-2018.54526900756,-2481.3811333871463,-2202.9456683045855,4,78265.594,0.0,78265.594,14096.115,64139.637,62.364,26.766,12000,12000,60000,60000,30.775,48.49264705882352,0.36220588235294116,0.42357179804017364,"[-2018.54526900756, -2040.096684716757, -2292.3704302673204, -2255.321554427532, -2481.3811333871463, -2263.7914771162305, -2160.658146157205, -2188.3643289327833, -2171.9019393598032, -2157.025719673524]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,11775.5,2354.5,0.0,26.772882,0.2,0.0003,5.954052083203747,-0.014566608143559085,5.966095443490711,-0.02584079211684549,0.012616259980786476,0.7689190380132882,0.0
6,0,0,80000,80000,16000,16000,4000,4000,37.61710676545437,37.61710676545437,16000,16000,80000,4000,80000,False,4,c4678_00000,2026-03-10_11-05-24,1773137124,106.3391125202179,341.15221333503723,38968,DESKTOP-1HI26E8,127.0.0.1,341.15221333503723,4,16000,16000,80000,80000,-1928.8988358589359,-2481.3811333871463,-2179.722778525189,1000.0,12000,0,2,-1928.8988358589359,-2481.3811333871463,-2179.722778525189,2,85282.845,0.0,85282.845,13559.958,71695.176,55.792,23.778,16000,16000,80000,80000,35.99407407407407,52.385185185185186,0.6856296296296297,0.8113807016591579,"[-2018.54526900756, -2040.096684716757, -2292.3704302673204, -2255.321554427532, -2481.3811333871463, -2263.7914771162305, -2160.658146157205, -2188.3643289327833, -2171.9019393598032, -2157.025719673524, -1928.8988358589359, -2198.3178233974745]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,16485.5,2354.5,0.0,22.191526,0.2,0.0003,6.464831773085706,-0.014265594267209244,6.476570240150338,0.04303846098561702,0.01263567034714226,0.7473662846154215,0.0
6,0,0,100000,100000,20000,20000,4000,4000,39.01389164546766,39.01389164546766,20000,20000,100000,4000,100000,False,5,c4678_00000,2026-03-10_11-07-07,1773137227,102.53341698646545,443.6856303215027,38968,DESKTOP-1HI26E8,127.0.0.1,443.6856303215027,5,20000,20000,100000,100000,-1676.4354925194993,-2481.3811333871463,-2052.214356679194,1000.0,18000,0,6,-1676.4354925194993,-2481.3811333871463,-2052.214356679194,6,88731.793,0.0,88731.793,12633.734,76070.904,52.583,23.08,20000,20000,100000,100000,28.283582089552244,51.98283582089552,0.7613432835820896,0.8088119490481155,"[-2018.54526900756, -2040.096684716757, -2292.3704302673204, -2255.321554427532, -2481.3811333871463, -2263.7914771162305, -2160.658146157205, -2188.3643289327833, -2171.9019393598032, -2157.025719673524, -1928.8988358589359, -2198.3178233974745, -1876.0857119235682, -1873.698808212398, -1790.2744730844852, -1774.5714722816913, -1792.119119901584, -1676.4354925194993]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,21195.5,2354.5,0.0,22.704273,0.2,0.0003,6.009951909990574,-0.017652165322147327,6.02482735569057,0.03932722162795421,0.013883615692875943,0.7347518202985168,0.0
6,0,0,120000,120000,24000,24000,4000,4000,40.943597970662566,40.943597970662566,24000,24000,120000,4000,120000,False,6,c4678_00000,2026-03-10_11-08-44,1773137324,97.70026350021362,541.3858938217163,38968,DESKTOP-1HI26E8,127.0.0.1,541.3858938217163,6,24000,24000,120000,120000,-1460.419506451079,-2481.3811333871463,-1965.4742022972277,1000.0,22000,0,4,-1460.419506451079,-2481.3811333871463,-1965.4742022972277,4,90225.722,0.0,90225.722,12039.24,78159.7,51.177,22.306,24000,24000,120000,120000,28.010937499999997,47.51953125,0.732421875,0.8067551218246216,"[-2018.54526900756, -2040.096684716757, -2292.3704302673204, -2255.321554427532, -2481.3811333871463, -2263.7914771162305, -2160.658146157205, -2188.3643289327833, -2171.9019393598032, -2157.025719673524, -1928.8988358589359, -2198.3178233974745, -1876.0857119235682, -1873.698808212398, -1790.2744730844852, -1774.5714722816913, -1792.119119901584, -1676.4354925194993, -1460.419506451079, -1629.0733978376109, -1631.9061791510542, -1579.174946873776]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,25905.5,2354.5,0.0,16.487333,0.2,0.0003,6.419660608226833,-0.019382502459090463,6.436270795911234,-0.0233523861617799,0.013861556645965601,0.7108265429671909,0.0
6,0,0,140000,140000,28000,28000,4000,4000,41.52769895398452,41.52769895398452,28000,28000,140000,4000,140000,False,7,c4678_00000,2026-03-10_11-10-21,1773137421,96.32778787612915,637.7136816978455,38968,DESKTOP-1HI26E8,127.0.0.1,637.7136816978455,7,28000,28000,140000,140000,-1406.2570482743852,-2481.3811333871463,-1924.152876198544,1000.0,24000,0,2,-1406.2570482743852,-2481.3811333871463,-1924.152876198544,2,91096.512,0.0,91096.512,11620.136,79449.425,50.346,22.093,28000,28000,140000,140000,31.76048387096774,47.629032258064534,0.6943548387096775,0.8126763004869438,"[-2018.54526900756, -2040.096684716757, -2292.3704302673204, -2255.321554427532, -2481.3811333871463, -2263.7914771162305, -2160.658146157205, -2188.3643289327833, -2171.9019393598032, -2157.025719673524, -1928.8988358589359, -2198.3178233974745, -1876.0857119235682, -1873.698808212398, -1790.2744730844852, -1774.5714722816913, -1792.119119901584, -1676.4354925194993, -1460.419506451079, -1629.0733978376109, -1631.9061791510542, -1579.174946873776, -1406.2570482743852, -1532.9795299516513]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,30615.5,2354.5,0.0,15.540111,0.2,0.0003,6.261197147349137,-0.02068868585122698,6.279104410058121,0.001801222550135003,0.013907083775857986,0.689270876028482,0.0
6,0,0,160000,160000,32000,32000,4000,4000,38.12931320654839,38.12931320654839,32000,32000,160000,4000,160000,False,8,c4678_00000,2026-03-10_11-12-06,1773137526,104.91136837005615,742.6250500679016,38968,DESKTOP-1HI26E8,127.0.0.1,742.6250500679016,8,32000,32000,160000,160000,-1109.9166602313612,-2481.3811333871463,-1792.9977726934303,1000.0,30000,0,6,-1109.9166602313612,-2481.3811333871463,-1792.9977726934303,6,92822.719,0.0,92822.719,11309.095,81486.354,49.088,22.269,32000,32000,160000,160000,31.288888888888888,47.87925925925925,0.7348148148148148,0.8096265537643162,"[-2018.54526900756, -2040.096684716757, -2292.3704302673204, -2255.321554427532, -2481.3811333871463, -2263.7914771162305, -2160.658146157205, -2188.3643289327833, -2171.9019393598032, -2157.025719673524, -1928.8988358589359, -2198.3178233974745, -1876.0857119235682, -1873.698808212398, -1790.2744730844852, -1774.5714722816913, -1792.119119901584, -1676.4354925194993, -1460.419506451079, -1629.0733978376109, -1631.9061791510542, -1579.174946873776, -1406.2570482743852, -1532.9795299516513, -1109.9166602313612, -1341.2598471015344, -1417.5822426207728, -1297.5754647221543, -1263.269554541253, -1180.6603828207762]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,35325.5,2354.5,0.0,14.002898,0.2,0.0003,6.117766519615351,-0.023522642809470556,6.138321609659053,0.01902244108750815,0.014837790170316376,0.6611173724799146,0.0
6,0,0,180000,180000,36000,36000,4000,4000,39.395593943323234,39.395593943323234,36000,36000,180000,4000,180000,False,9,c4678_00000,2026-03-10_11-13-47,1773137627,101.54072761535645,844.165777683258,38968,DESKTOP-1HI26E8,127.0.0.1,844.165777683258,9,36000,36000,180000,180000,-912.9767750849696,-2481.3811333871463,-1701.419344868868,1000.0,34000,0,4,-912.9767750849696,-2481.3811333871463,-1701.419344868868,4,93790.661,0.0,93790.661,11054.22,82709.729,48.362,21.685,36000,36000,180000,180000,27.313636363636363,47.726515151515144,0.7487878787878788,0.8076444094091872,"[-2018.54526900756, -2040.096684716757, -2292.3704302673204, -2255.321554427532, -2481.3811333871463, -2263.7914771162305, -2160.658146157205, -2188.3643289327833, -2171.9019393598032, -2157.025719673524, -1928.8988358589359, -2198.3178233974745, -1876.0857119235682, -1873.698808212398, -1790.2744730844852, -1774.5714722816913, -1792.119119901584, -1676.4354925194993, -1460.419506451079, -1629.0733978376109, -1631.9061791510542, -1579.174946873776, -1406.2570482743852, -1532.9795299516513, -1109.9166602313612, -1341.2598471015344, -1417.5822426207728, -1297.5754647221543, -1263.269554541253, -1180.6603828207762, -1087.9559207552047, -1073.812886366756, -912.9767750849696, -983.5789625316698]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,40035.5,2354.5,0.0,13.5641,0.2,0.0003,5.523120009620731,-0.024586924801396716,5.5445069746859765,0.11067802913629325,0.015999761900405807,0.6305226215258273,0.0
6,0,0,200000,200000,40000,40000,4000,4000,41.312803169297595,41.312803169297595,40000,40000,200000,4000,200000,False,10,c4678_00000,2026-03-10_11-15-24,1773137724,96.82840251922607,940.9941802024841,38968,DESKTOP-1HI26E8,127.0.0.1,940.9941802024841,10,40000,40000,200000,200000,-910.238751091836,-2481.3811333871463,-1661.704779530448,1000.0,36000,0,2,-910.238751091836,-2481.3811333871463,-1661.704779530448,2,94093.823,0.0,94093.823,10857.947,83209.367,48.072,21.269,40000,40000,200000,200000,28.830708661417322,47.63858267716538,0.7280314960629924,0.798700998965261,"[-2018.54526900756, -2040.096684716757, -2292.3704302673204, -2255.321554427532, -2481.3811333871463, -2263.7914771162305, -2160.658146157205, -2188.3643289327833, -2171.9019393598032, -2157.025719673524, -1928.8988358589359, -2198.3178233974745, -1876.0857119235682, -1873.698808212398, -1790.2744730844852, -1774.5714722816913, -1792.119119901584, -1676.4354925194993, -1460.419506451079, -1629.0733978376109, -1631.9061791510542, -1579.174946873776, -1406.2570482743852, -1532.9795299516513, -1109.9166602313612, -1341.2598471015344, -1417.5822426207728, -1297.5754647221543, -1263.269554541253, -1180.6603828207762, -1087.9559207552047, -1073.812886366756, -912.9767750849696, -983.5789625316698, -1062.8755864627815, -910.238751091836]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,44745.5,2354.5,0.0,13.317256,0.2,0.0003,5.539805539044099,-0.023193016844443706,5.559960957545384,0.08078062200242547,0.015187977813794993,0.5992302165036495,0.0
