num_healthy_workers,actor_manager_num_outstanding_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths,info/learner/shared_policy/num_agent_steps_trained,info/learner/shared_policy/num_grad_updates_lifetime,info/learner/shared_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/shared_policy/learner_stats/allreduce_latency,info/learner/shared_policy/learner_stats/grad_gnorm,info/learner/shared_policy/learner_stats/cur_kl_coeff,info/learner/shared_policy/learner_stats/cur_lr,info/learner/shared_policy/learner_stats/total_loss,info/learner/shared_policy/learner_stats/policy_loss,info/learner/shared_policy/learner_stats/vf_loss,info/learner/shared_policy/learner_stats/vf_explained_var,info/learner/shared_policy/learner_stats/kl,info/learner/shared_policy/learner_stats/entropy,info/learner/shared_policy/learner_stats/entropy_coeff
6,0,0,20000,20000,4000,4000,4000,4000,47.45186658127873,47.45186658127873,4000,4000,20000,4000,20000,False,1,c6c38_00000,2026-03-10_11-44-05,1773139445,84.29994440078735,84.29994440078735,35736,DESKTOP-1HI26E8,127.0.0.1,84.29994440078735,1,4000,4000,20000,20000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,84295.946,0.0,84295.946,15607.334,68657.257,58.26,25.356,4000,4000,20000,20000,26.904716981132072,40.65660377358491,0.2737735849056604,0.1807246684056742,[],[],127.38853503184713,2355.5,2354.5,0.0,26.299732,0.2,0.0003,7.5673729881359515,-0.0023713792987650304,7.568935155666051,-0.003708326057264,0.004046069972562328,0.8041691206316532,0.0
6,0,0,40000,40000,8000,8000,4000,4000,48.51332178703959,48.51332178703959,8000,8000,40000,4000,40000,False,2,c6c38_00000,2026-03-10_11-45-27,1773139527,82.45994567871094,166.7598900794983,35736,DESKTOP-1HI26E8,127.0.0.1,166.7598900794983,2,8000,8000,40000,40000,-2393.1744066361466,-2599.843848008387,-2492.533939055835,1000.0,6000,0,6,-2393.1744066361466,-2599.843848008387,-2492.533939055835,6,83373.763,0.0,83373.763,15857.675,67479.563,59.277,30.107,8000,8000,40000,40000,25.982524271844657,40.816504854368944,0.28932038834951457,0.18275382871452894,"[-2447.240180313592, -2499.7412135355894, -2500.8199529970707, -2393.1744066361466, -2599.843848008387, -2514.384032844227]","[1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,7065.5,2354.5,0.0,37.97938,0.1,0.0003,5.53273271663933,-0.007923321516970824,5.5395542156924105,0.042289850362546885,0.011018216676284224,0.7862285267269029,0.0
6,0,0,60000,60000,12000,12000,4000,4000,50.08457996567604,50.08457996567604,12000,12000,60000,4000,60000,False,3,c6c38_00000,2026-03-10_11-46-47,1773139607,79.87079048156738,246.63068056106567,35736,DESKTOP-1HI26E8,127.0.0.1,246.63068056106567,3,12000,12000,60000,60000,-1971.8647853668094,-2599.843848008387,-2339.8324231469323,1000.0,10000,0,4,-1971.8647853668094,-2599.843848008387,-2339.8324231469323,4,82204.142,0.0,82204.142,15662.729,66502.396,60.148,29.923,12000,12000,60000,60000,24.851515151515155,40.77575757575758,0.2926262626262626,0.18125317661223864,"[-2447.240180313592, -2499.7412135355894, -2500.8199529970707, -2393.1744066361466, -2599.843848008387, -2514.384032844227, -2085.8047742343306, -1971.8647853668094, -2041.2836818660799, -2344.16735566709]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,11775.5,2354.5,0.0,21.363491,0.1,0.0003,7.0203866441285285,-0.008859654128128334,7.028174577295907,0.03763621807604585,0.010717194922639154,0.7634686534192152,0.0
6,0,0,80000,80000,16000,16000,4000,4000,49.85916890391341,49.85916890391341,16000,16000,80000,4000,80000,False,4,c6c38_00000,2026-03-10_11-48-07,1773139687,80.22596621513367,326.85664677619934,35736,DESKTOP-1HI26E8,127.0.0.1,326.85664677619934,4,16000,16000,80000,80000,-1971.8647853668094,-2599.843848008387,-2296.6022803181336,1000.0,12000,0,2,-1971.8647853668094,-2599.843848008387,-2296.6022803181336,2,81709.598,0.0,81709.598,15687.973,65983.903,60.621,29.084,16000,16000,80000,80000,24.410891089108908,40.76633663366338,0.29316831683168315,0.18170517589130677,"[-2447.240180313592, -2499.7412135355894, -2500.8199529970707, -2393.1744066361466, -2599.843848008387, -2514.384032844227, -2085.8047742343306, -1971.8647853668094, -2041.2836818660799, -2344.16735566709, -2041.161935756722, -2119.741196591555]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,16485.5,2354.5,0.0,23.495354,0.1,0.0003,6.521346681740633,-0.01047287174716054,6.530649545693853,0.010326346331088154,0.011700040176563488,0.7579518561150618,0.0
6,0,0,100000,100000,20000,20000,4000,4000,47.81037145581402,47.81037145581402,20000,20000,100000,4000,100000,False,5,c6c38_00000,2026-03-10_11-49-31,1773139771,83.66567921638489,410.52232599258423,35736,DESKTOP-1HI26E8,127.0.0.1,410.52232599258423,5,20000,20000,100000,100000,-1769.2420705676452,-2599.843848008387,-2163.793632473354,1000.0,18000,0,6,-1769.2420705676452,-2599.843848008387,-2163.793632473354,6,82100.45,0.0,82100.45,15572.368,66488.139,60.161,30.726,20000,20000,100000,100000,27.88076923076923,40.864423076923075,0.29230769230769227,0.18187027920784635,"[-2447.240180313592, -2499.7412135355894, -2500.8199529970707, -2393.1744066361466, -2599.843848008387, -2514.384032844227, -2085.8047742343306, -1971.8647853668094, -2041.2836818660799, -2344.16735566709, -2041.161935756722, -2119.741196591555, -1825.5889382627165, -1984.129921665422, -1844.6882457298982, -2117.1690756535086, -1769.2420705676452, -1848.2397688235706]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,21195.5,2354.5,0.0,27.944038,0.1,0.0003,5.456038297311009,-0.015500143806958242,5.4700032308096596,0.0808734034656719,0.015352020994828453,0.7366493467059612,0.0
6,0,0,120000,120000,24000,24000,4000,4000,41.62788434171373,41.62788434171373,24000,24000,120000,4000,120000,False,6,c6c38_00000,2026-03-10_11-51-07,1773139867,96.09893584251404,506.62126183509827,35736,DESKTOP-1HI26E8,127.0.0.1,506.62126183509827,6,24000,24000,120000,120000,-1663.3232751255853,-2599.843848008387,-2080.605348095722,1000.0,22000,0,4,-1663.3232751255853,-2599.843848008387,-2080.605348095722,4,84431.948,0.0,84431.948,15663.163,68728.764,58.2,30.82,24000,24000,120000,120000,30.92773109243697,41.01176470588235,0.29361344537815126,0.18165341368594337,"[-2447.240180313592, -2499.7412135355894, -2500.8199529970707, -2393.1744066361466, -2599.843848008387, -2514.384032844227, -2085.8047742343306, -1971.8647853668094, -2041.2836818660799, -2344.16735566709, -2041.161935756722, -2119.741196591555, -1825.5889382627165, -1984.129921665422, -1844.6882457298982, -2117.1690756535086, -1769.2420705676452, -1848.2397688235706, -1732.937449902716, -1704.5612150782388, -1663.3232751255853, -1724.2103334789688]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,25905.5,2354.5,0.0,25.445019,0.1,0.0003,5.736752289672819,-0.012748268198997036,5.748262129417144,0.10570967669446504,0.012384267591464684,0.7160263879916724,0.0
6,0,0,140000,140000,28000,28000,4000,4000,42.08897098542309,42.08897098542309,28000,28000,140000,4000,140000,False,7,c6c38_00000,2026-03-10_11-52-42,1773139962,95.05348110198975,601.674742937088,35736,DESKTOP-1HI26E8,127.0.0.1,601.674742937088,7,28000,28000,140000,140000,-1450.7567888958197,-2599.843848008387,-2035.6446063061303,1000.0,24000,0,2,-1450.7567888958197,-2599.843848008387,-2035.6446063061303,2,85946.923,0.0,85946.923,15678.641,70230.521,56.955,29.875,28000,28000,140000,140000,29.5126050420168,40.98739495798319,0.2994957983193278,0.18153333634381938,"[-2447.240180313592, -2499.7412135355894, -2500.8199529970707, -2393.1744066361466, -2599.843848008387, -2514.384032844227, -2085.8047742343306, -1971.8647853668094, -2041.2836818660799, -2344.16735566709, -2041.161935756722, -2119.741196591555, -1825.5889382627165, -1984.129921665422, -1844.6882457298982, -2117.1690756535086, -1769.2420705676452, -1848.2397688235706, -1732.937449902716, -1704.5612150782388, -1663.3232751255853, -1724.2103334789688, -1631.396104345431, -1450.7567888958197]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,30615.5,2354.5,0.0,22.344967,0.1,0.0003,5.712971678509074,-0.015790720553791857,5.727422928152064,0.09278111865312937,0.01339465468919494,0.6926929745451407,0.0
6,0,0,160000,160000,32000,32000,4000,4000,42.370540641668306,42.370540641668306,32000,32000,160000,4000,160000,False,8,c6c38_00000,2026-03-10_11-54-17,1773140057,94.42134284973145,696.0960857868195,35736,DESKTOP-1HI26E8,127.0.0.1,696.0960857868195,8,32000,32000,160000,160000,-1361.7076581492297,-2599.843848008387,-1908.0044212001874,1000.0,30000,0,6,-1361.7076581492297,-2599.843848008387,-1908.0044212001874,6,87004.209,0.0,87004.209,15647.251,71320.428,56.085,29.441,32000,32000,160000,160000,30.973728813559315,41.04067796610171,0.2811016949152542,0.18118081028044347,"[-2447.240180313592, -2499.7412135355894, -2500.8199529970707, -2393.1744066361466, -2599.843848008387, -2514.384032844227, -2085.8047742343306, -1971.8647853668094, -2041.2836818660799, -2344.16735566709, -2041.161935756722, -2119.741196591555, -1825.5889382627165, -1984.129921665422, -1844.6882457298982, -2117.1690756535086, -1769.2420705676452, -1848.2397688235706, -1732.937449902716, -1704.5612150782388, -1663.3232751255853, -1724.2103334789688, -1631.396104345431, -1450.7567888958197, -1394.2433268012805, -1463.0597443906188, -1406.8831174658599, -1365.075053901865, -1393.6931839496408, -1361.7076581492297]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,35325.5,2354.5,0.0,21.634285,0.1,0.0003,5.437103524481415,-0.01787467770142018,5.453438818480052,0.08550279064542929,0.01539385371152443,0.6621403356646277,0.0
6,0,0,180000,180000,36000,36000,4000,4000,42.288084018376814,42.288084018376814,36000,36000,180000,4000,180000,False,9,c6c38_00000,2026-03-10_11-55-52,1773140152,94.59683227539062,790.6929180622101,35736,DESKTOP-1HI26E8,127.0.0.1,790.6929180622101,9,36000,36000,180000,180000,-1186.2350192963554,-2599.843848008387,-1829.0970692379044,1000.0,34000,0,4,-1186.2350192963554,-2599.843848008387,-1829.0970692379044,4,87846.996,0.0,87846.996,15641.883,72167.92,55.426,29.923,36000,36000,180000,180000,28.84873949579832,41.09579831932773,0.292436974789916,0.1798153066795844,"[-2447.240180313592, -2499.7412135355894, -2500.8199529970707, -2393.1744066361466, -2599.843848008387, -2514.384032844227, -2085.8047742343306, -1971.8647853668094, -2041.2836818660799, -2344.16735566709, -2041.161935756722, -2119.741196591555, -1825.5889382627165, -1984.129921665422, -1844.6882457298982, -2117.1690756535086, -1769.2420705676452, -1848.2397688235706, -1732.937449902716, -1704.5612150782388, -1663.3232751255853, -1724.2103334789688, -1631.396104345431, -1450.7567888958197, -1394.2433268012805, -1463.0597443906188, -1406.8831174658599, -1365.075053901865, -1393.6931839496408, -1361.7076581492297, -1206.5191359339171, -1270.485001636973, -1186.2350192963554, -1285.9285612158874]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,40035.5,2354.5,0.0,17.515038,0.1,0.0003,5.707324236770598,-0.016732856097993007,5.722492819885287,0.04798380493358442,0.015642707683309144,0.6265640187162249,0.0
6,0,0,200000,200000,40000,40000,4000,4000,42.16992600951045,42.16992600951045,40000,40000,200000,4000,200000,False,10,c6c38_00000,2026-03-10_11-57-27,1773140247,94.86433410644531,885.5572521686554,35736,DESKTOP-1HI26E8,127.0.0.1,885.5572521686554,10,40000,40000,200000,200000,-1096.994081771549,-2599.843848008387,-1788.5813171691216,1000.0,36000,0,2,-1096.994081771549,-2599.843848008387,-1788.5813171691216,2,88547.73,0.0,88547.73,15585.178,72926.325,54.85,29.083,40000,40000,200000,200000,27.112605042016806,41.41008403361344,0.2673949579831933,0.18544970504078523,"[-2447.240180313592, -2499.7412135355894, -2500.8199529970707, -2393.1744066361466, -2599.843848008387, -2514.384032844227, -2085.8047742343306, -1971.8647853668094, -2041.2836818660799, -2344.16735566709, -2041.161935756722, -2119.741196591555, -1825.5889382627165, -1984.129921665422, -1844.6882457298982, -2117.1690756535086, -1769.2420705676452, -1848.2397688235706, -1732.937449902716, -1704.5612150782388, -1663.3232751255853, -1724.2103334789688, -1631.396104345431, -1450.7567888958197, -1394.2433268012805, -1463.0597443906188, -1406.8831174658599, -1365.075053901865, -1393.6931839496408, -1361.7076581492297, -1206.5191359339171, -1270.485001636973, -1186.2350192963554, -1285.9285612158874, -1102.6329822280716, -1096.994081771549]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,44745.5,2354.5,0.0,15.636578,0.1,0.0003,5.748108957881887,-0.018505479111741524,5.765104336040035,0.09442111276517248,0.0151010044472547,0.6053215313236172,0.0
