num_healthy_workers,actor_manager_num_outstanding_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths,info/learner/shared_policy/num_agent_steps_trained,info/learner/shared_policy/num_grad_updates_lifetime,info/learner/shared_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/shared_policy/learner_stats/allreduce_latency,info/learner/shared_policy/learner_stats/grad_gnorm,info/learner/shared_policy/learner_stats/cur_kl_coeff,info/learner/shared_policy/learner_stats/cur_lr,info/learner/shared_policy/learner_stats/total_loss,info/learner/shared_policy/learner_stats/policy_loss,info/learner/shared_policy/learner_stats/vf_loss,info/learner/shared_policy/learner_stats/vf_explained_var,info/learner/shared_policy/learner_stats/kl,info/learner/shared_policy/learner_stats/entropy,info/learner/shared_policy/learner_stats/entropy_coeff
6,0,0,20000,20000,4000,4000,4000,4000,44.10797543849683,44.10797543849683,4000,4000,20000,4000,20000,False,1,a4906_00000,2026-03-03_14-21-56,1772544116,90.69154572486877,90.69154572486877,48848,DESKTOP-1HI26E8,127.0.0.1,90.69154572486877,1,4000,4000,20000,20000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,90686.547,0.0,90686.547,12052.956,78600.551,50.89,28.038,4000,4000,20000,20000,32.979824561403504,45.96842105263158,0.25,0.1809590843253713,[],[],127.38853503184713,2355.5,2354.5,0.0,3.4264174,0.2,0.0003,7.6296307182109535,-0.004741794922569027,7.632892472880661,0.11291949828718878,0.007400212801273469,0.789699486397887,0.0
6,0,0,40000,40000,8000,8000,4000,4000,41.44265874810916,41.44265874810916,8000,8000,40000,4000,40000,False,2,a4906_00000,2026-03-03_14-23-32,1772544212,96.52490901947021,187.216454744339,48848,DESKTOP-1HI26E8,127.0.0.1,187.216454744339,2,8000,8000,40000,40000,231.99999999999773,-117.00000000000199,36.49999999999827,1000.0,6000,0,6,231.99999999999773,-117.00000000000199,36.49999999999827,6,93602.726,0.0,93602.726,12582.574,80988.363,49.39,27.288,8000,8000,40000,40000,36.51639344262295,46.47704918032786,0.26868852459016396,0.18536422753810056,"[-86.00000000000111, 151.99999999999872, -47.0000000000019, -117.00000000000199, 84.99999999999821, 231.99999999999773]","[1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,7065.5,2354.5,0.0,3.2234616,0.2,0.0003,7.978296491092431,-0.008647249143218697,7.985057335851552,0.059715287890403895,0.009432019359597556,0.7674368562085866,0.0
6,0,0,60000,60000,12000,12000,4000,4000,46.691496823953194,46.691496823953194,12000,12000,60000,4000,60000,False,3,a4906_00000,2026-03-03_14-24-58,1772544298,85.67622232437134,272.8926770687103,48848,DESKTOP-1HI26E8,127.0.0.1,272.8926770687103,3,12000,12000,60000,60000,1162.000000000001,-117.00000000000199,420.50000000000136,1000.0,10000,0,4,1162.000000000001,-117.00000000000199,420.50000000000136,4,90958.052,0.0,90958.052,12380.598,78543.084,50.927,29.037,12000,12000,60000,60000,29.52897196261682,46.48224299065419,0.29719626168224295,0.17684872779403646,"[-86.00000000000111, 151.99999999999872, -47.0000000000019, -117.00000000000199, 84.99999999999821, 231.99999999999773, 953.000000000006, 881.0000000000075, 1162.000000000001, 990.0000000000094]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,11775.5,2354.5,0.0,6.797755,0.2,0.0003,8.461703407688505,-0.010929261605629022,8.470543940558303,0.0674678398039184,0.010443651147658896,0.7429201367174744,0.0
6,0,0,80000,80000,16000,16000,4000,4000,46.0420378564359,46.0420378564359,16000,16000,80000,4000,80000,False,4,a4906_00000,2026-03-03_14-26-25,1772544385,86.8851203918457,359.77779746055603,48848,DESKTOP-1HI26E8,127.0.0.1,359.77779746055603,4,16000,16000,80000,80000,1867.9999999999825,-117.00000000000199,600.2499999999995,1000.0,12000,0,2,1867.9999999999825,-117.00000000000199,600.2499999999995,2,89937.821,0.0,89937.569,12026.342,77875.933,51.364,28.793,16000,16000,80000,80000,29.067889908256877,46.64954128440367,0.25990825688073393,0.17634667873773663,"[-86.00000000000111, 151.99999999999872, -47.0000000000019, -117.00000000000199, 84.99999999999821, 231.99999999999773, 953.000000000006, 881.0000000000075, 1162.000000000001, 990.0000000000094, 1129.9999999999984, 1867.9999999999825]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,16485.5,2354.5,0.0,7.2579584,0.2,0.0003,8.378744756188363,-0.01548114823357394,8.391730007042044,0.07281065288369569,0.012479471135792019,0.7200392251434853,0.0
6,0,0,100000,100000,20000,20000,4000,4000,49.3255761726871,49.3255761726871,20000,20000,100000,4000,100000,False,5,a4906_00000,2026-03-03_14-27-46,1772544466,81.10335350036621,440.88115096092224,48848,DESKTOP-1HI26E8,127.0.0.1,440.88115096092224,5,20000,20000,100000,100000,2467.999999999977,-117.00000000000199,1079.499999999993,1000.0,18000,0,6,2467.999999999977,-117.00000000000199,1079.499999999993,6,88169.023,0.0,88168.822,11818.14,76317.034,52.413,27.446,20000,20000,100000,100000,26.515841584158416,46.614851485148534,0.3061386138613862,0.17477037151687816,"[-86.00000000000111, 151.99999999999872, -47.0000000000019, -117.00000000000199, 84.99999999999821, 231.99999999999773, 953.000000000006, 881.0000000000075, 1162.000000000001, 990.0000000000094, 1129.9999999999984, 1867.9999999999825, 2077.999999999987, 2115.999999999977, 1957.9999999999766, 2132.999999999981, 1474.999999999979, 2467.999999999977]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,21195.5,2354.5,0.0,5.2831063,0.2,0.0003,9.178756710830008,-0.01688529830277678,9.193167216307039,0.06754193169296167,0.012373936428517794,0.673360401543842,0.0
6,0,0,120000,120000,24000,24000,4000,4000,49.48680131115417,49.48680131115417,24000,24000,120000,4000,120000,False,6,a4906_00000,2026-03-03_14-29-07,1772544547,80.83916163444519,521.7203125953674,48848,DESKTOP-1HI26E8,127.0.0.1,521.7203125953674,6,24000,24000,120000,120000,3624.999999999956,-117.00000000000199,1489.090909090895,1000.0,22000,0,4,3624.999999999956,-117.00000000000199,1489.090909090895,4,86945.791,0.0,86945.624,11682.586,75228.987,53.171,27.551,24000,24000,120000,120000,26.06,46.57800000000001,0.30660000000000004,0.17409013190034195,"[-86.00000000000111, 151.99999999999872, -47.0000000000019, -117.00000000000199, 84.99999999999821, 231.99999999999773, 953.000000000006, 881.0000000000075, 1162.000000000001, 990.0000000000094, 1129.9999999999984, 1867.9999999999825, 2077.999999999987, 2115.999999999977, 1957.9999999999766, 2132.999999999981, 1474.999999999979, 2467.999999999977, 3477.9999999999413, 2695.9999999999673, 3624.999999999956, 3529.999999999949]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,25905.5,2354.5,0.0,2.7374885,0.2,0.0003,9.698135373749297,-0.01862604756268125,9.71423130096144,0.04381224863595011,0.012650570607462164,0.6373716382337477,0.0
6,0,0,140000,140000,28000,28000,4000,4000,30.75272768572672,30.75272768572672,28000,28000,140000,4000,140000,False,7,a4906_00000,2026-03-03_14-31-17,1772544677,130.0813329219818,651.8016455173492,48848,DESKTOP-1HI26E8,127.0.0.1,651.8016455173492,7,28000,28000,140000,140000,3624.999999999956,-117.00000000000199,1643.874999999983,1000.0,24000,0,2,3624.999999999956,-117.00000000000199,1643.874999999983,2,93106.359,0.0,93106.215,11677.089,81394.132,49.144,27.851,28000,28000,140000,140000,29.640566037735844,46.75094339622641,0.2706603773584905,0.1704127531315962,"[-86.00000000000111, 151.99999999999872, -47.0000000000019, -117.00000000000199, 84.99999999999821, 231.99999999999773, 953.000000000006, 881.0000000000075, 1162.000000000001, 990.0000000000094, 1129.9999999999984, 1867.9999999999825, 2077.999999999987, 2115.999999999977, 1957.9999999999766, 2132.999999999981, 1474.999999999979, 2467.999999999977, 3477.9999999999413, 2695.9999999999673, 3624.999999999956, 3529.999999999949, 3501.9999999999527, 3190.999999999956]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,30615.5,2354.5,0.0,9.341077,0.2,0.0003,8.775893755931003,-0.019365099273353118,8.792605864470172,0.029285398574897946,0.0132649703153798,0.6246734177863775,0.0
6,0,0,160000,160000,32000,32000,4000,4000,45.24968615564824,45.24968615564824,32000,32000,160000,4000,160000,False,8,a4906_00000,2026-03-03_14-32-46,1772544766,88.40792107582092,740.2095665931702,48848,DESKTOP-1HI26E8,127.0.0.1,740.2095665931702,8,32000,32000,160000,160000,4166.99999999995,-117.00000000000199,2102.43333333331,1000.0,30000,0,6,4166.99999999995,-117.00000000000199,2102.43333333331,6,92517.864,0.0,92517.739,11688.705,80793.11,49.509,28.798,32000,32000,160000,160000,31.901801801801803,46.46306306306305,0.24495495495495492,0.1666039512888561,"[-86.00000000000111, 151.99999999999872, -47.0000000000019, -117.00000000000199, 84.99999999999821, 231.99999999999773, 953.000000000006, 881.0000000000075, 1162.000000000001, 990.0000000000094, 1129.9999999999984, 1867.9999999999825, 2077.999999999987, 2115.999999999977, 1957.9999999999766, 2132.999999999981, 1474.999999999979, 2467.999999999977, 3477.9999999999413, 2695.9999999999673, 3624.999999999956, 3529.999999999949, 3501.9999999999527, 3190.999999999956, 3878.999999999944, 4072.9999999999545, 3730.999999999956, 3791.999999999957, 3977.999999999958, 4166.99999999995]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,35325.5,2354.5,0.0,14.094107,0.2,0.0003,7.918130415209792,-0.02273561022503424,7.937774303359338,0.031225445316096022,0.015458564014681637,0.6071180665062744,0.0
6,0,0,180000,180000,36000,36000,4000,4000,42.24407986756243,42.24407986756243,36000,36000,180000,4000,180000,False,9,a4906_00000,2026-03-03_14-34-21,1772544861,94.70032954216003,834.9098961353302,48848,DESKTOP-1HI26E8,127.0.0.1,834.9098961353302,9,36000,36000,180000,180000,4166.99999999995,-117.00000000000199,2299.499999999974,1000.0,34000,0,4,4166.99999999995,-117.00000000000199,2299.499999999974,4,92758.971,0.0,92758.859,11661.787,81060.464,49.346,29.166,36000,36000,180000,180000,30.307563025210083,46.2453781512605,0.28084033613445386,0.17170957293518294,"[-86.00000000000111, 151.99999999999872, -47.0000000000019, -117.00000000000199, 84.99999999999821, 231.99999999999773, 953.000000000006, 881.0000000000075, 1162.000000000001, 990.0000000000094, 1129.9999999999984, 1867.9999999999825, 2077.999999999987, 2115.999999999977, 1957.9999999999766, 2132.999999999981, 1474.999999999979, 2467.999999999977, 3477.9999999999413, 2695.9999999999673, 3624.999999999956, 3529.999999999949, 3501.9999999999527, 3190.999999999956, 3878.999999999944, 4072.9999999999545, 3730.999999999956, 3791.999999999957, 3977.999999999958, 4166.99999999995, 4049.9999999999554, 3826.9999999999404, 3723.999999999963, 3508.999999999946]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,40035.5,2354.5,0.0,11.581328,0.2,0.0003,8.529177969327145,-0.025472822304095307,8.551223413908811,0.029747995500098875,0.01713689870284315,0.6069308757402335,0.0
6,0,0,200000,200000,40000,40000,4000,4000,42.47528516196728,42.47528516196728,40000,40000,200000,4000,200000,False,10,a4906_00000,2026-03-03_14-35-55,1772544955,94.18442153930664,929.0943176746368,48848,DESKTOP-1HI26E8,127.0.0.1,929.0943176746368,10,40000,40000,200000,200000,4166.99999999995,-117.00000000000199,2391.6111111110836,1000.0,36000,0,2,4166.99999999995,-117.00000000000199,2391.6111111110836,2,92900.315,0.101,92900.114,11615.221,81248.042,49.232,29.554,40000,40000,200000,200000,33.20840336134454,46.310924369747895,0.27789915966386564,0.17293600390815828,"[-86.00000000000111, 151.99999999999872, -47.0000000000019, -117.00000000000199, 84.99999999999821, 231.99999999999773, 953.000000000006, 881.0000000000075, 1162.000000000001, 990.0000000000094, 1129.9999999999984, 1867.9999999999825, 2077.999999999987, 2115.999999999977, 1957.9999999999766, 2132.999999999981, 1474.999999999979, 2467.999999999977, 3477.9999999999413, 2695.9999999999673, 3624.999999999956, 3529.999999999949, 3501.9999999999527, 3190.999999999956, 3878.999999999944, 4072.9999999999545, 3730.999999999956, 3791.999999999957, 3977.999999999958, 4166.99999999995, 4049.9999999999554, 3826.9999999999404, 3723.999999999963, 3508.999999999946, 4015.9999999999472, 3898.999999999952]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,44745.5,2354.5,0.0,12.6248865,0.2,0.0003,8.495991843116258,-0.02392059373679213,8.516855252118122,0.03874534725383588,0.015285898428369247,0.5644093198887609,0.0
