num_healthy_workers,actor_manager_num_outstanding_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths,info/learner/shared_policy/num_agent_steps_trained,info/learner/shared_policy/num_grad_updates_lifetime,info/learner/shared_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/shared_policy/learner_stats/allreduce_latency,info/learner/shared_policy/learner_stats/grad_gnorm,info/learner/shared_policy/learner_stats/cur_kl_coeff,info/learner/shared_policy/learner_stats/cur_lr,info/learner/shared_policy/learner_stats/total_loss,info/learner/shared_policy/learner_stats/policy_loss,info/learner/shared_policy/learner_stats/vf_loss,info/learner/shared_policy/learner_stats/vf_explained_var,info/learner/shared_policy/learner_stats/kl,info/learner/shared_policy/learner_stats/entropy,info/learner/shared_policy/learner_stats/entropy_coeff
6,0,0,20000,20000,4000,4000,4000,4000,41.00080250516688,41.00080250516688,4000,4000,20000,4000,20000,False,1,e9ea4_00000,2026-03-03_12-36-23,1772537783,97.5640652179718,97.5640652179718,66016,DESKTOP-1HI26E8,127.0.0.1,97.5640652179718,1,4000,4000,20000,20000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,97559.066,0.0,97559.066,9530.623,87993.255,45.458,29.188,4000,4000,20000,20000,41.081451612903216,43.37338709677418,0.25556451612903225,0.1260804560568574,[],[],127.38853503184713,2355.5,2354.5,0.0,4.239956,0.2,0.0003,7.704398507727686,-0.005346121544694635,7.708198682821481,0.10253004229245925,0.007729735516661834,0.7932493913831731,0.0
6,0,0,40000,40000,8000,8000,4000,4000,40.459582723607774,40.459582723607774,8000,8000,40000,4000,40000,False,2,e9ea4_00000,2026-03-03_12-38-02,1772537882,98.87110686302185,196.43517208099365,66016,DESKTOP-1HI26E8,127.0.0.1,196.43517208099365,2,8000,8000,40000,40000,194.99999999999795,-260.9999999999907,-1.6666666666663659,1000.0,6000,0,6,194.99999999999795,-260.9999999999907,-1.6666666666663659,6,98211.58,0.0,98211.58,10979.927,87198.466,45.872,27.193,8000,8000,40000,40000,36.212,43.497599999999984,0.26792000000000005,0.12443087445041527,"[-260.9999999999907, 194.99999999999795, 32.0000000000001, 25.99999999999926, 105.9999999999977, -108.00000000000253]","[1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,7065.5,2354.5,0.0,4.0340858,0.2,0.0003,7.846337274583788,-0.007901511973387022,7.8523033991487665,0.12560541782915718,0.009676923152527182,0.7742372197330377,0.0
6,0,0,60000,60000,12000,12000,4000,4000,42.745190691644616,42.745190691644616,12000,12000,60000,4000,60000,False,3,e9ea4_00000,2026-03-03_12-39-35,1772537975,93.58729553222656,290.0224676132202,66016,DESKTOP-1HI26E8,127.0.0.1,290.0224676132202,3,12000,12000,60000,60000,508.00000000000716,-260.9999999999907,133.90000000000109,1000.0,10000,0,4,508.00000000000716,-260.9999999999907,133.90000000000109,4,96666.98,0.0,96666.98,11240.461,85392.716,46.842,28.141,12000,12000,60000,60000,34.64067796610169,43.4906779661017,0.27711864406779657,0.12411818038800067,"[-260.9999999999907, 194.99999999999795, 32.0000000000001, 25.99999999999926, 105.9999999999977, -108.00000000000253, 233.99999999999852, 463.0000000000049, 508.00000000000716, 143.99999999999864]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,11775.5,2354.5,0.0,4.695612,0.2,0.0003,7.930442259924174,-0.012725164130381496,7.940897204567166,0.02747192085422022,0.011351176827627612,0.7627386315739585,0.0
6,0,0,80000,80000,16000,16000,4000,4000,43.4019537058893,43.4019537058893,16000,16000,80000,4000,80000,False,4,e9ea4_00000,2026-03-03_12-41-07,1772538067,92.16975331306458,382.1922209262848,66016,DESKTOP-1HI26E8,127.0.0.1,382.1922209262848,4,16000,16000,80000,80000,630.0000000000035,-260.9999999999907,206.50000000000145,1000.0,12000,0,2,630.0000000000035,-260.9999999999907,206.50000000000145,2,95540.672,0.0,95540.672,11401.525,84105.533,47.559,28.119,16000,16000,80000,80000,32.692173913043476,43.52,0.2873043478260869,0.12346381767592025,"[-260.9999999999907, 194.99999999999795, 32.0000000000001, 25.99999999999926, 105.9999999999977, -108.00000000000253, 233.99999999999852, 463.0000000000049, 508.00000000000716, 143.99999999999864, 630.0000000000035, 509.0000000000025]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,16485.5,2354.5,0.0,6.163039,0.2,0.0003,8.66123444897354,-0.01538491976959532,8.674229117715434,-0.014736533544625447,0.011951224708551315,0.7428279572737951,0.0
6,0,0,100000,100000,20000,20000,4000,4000,42.41231198018174,42.41231198018174,20000,20000,100000,4000,100000,False,5,e9ea4_00000,2026-03-03_12-42-42,1772538162,94.32324123382568,476.5154621601105,66016,DESKTOP-1HI26E8,127.0.0.1,476.5154621601105,5,20000,20000,100000,100000,1951.9999999999802,-260.9999999999907,642.1666666666654,1000.0,18000,0,6,1951.9999999999802,-260.9999999999907,642.1666666666654,6,95294.985,0.0,95294.985,11455.877,83805.28,47.73,28.231,20000,20000,100000,100000,32.98050847457627,43.34576271186441,0.27974576271186447,0.12335124572545192,"[-260.9999999999907, 194.99999999999795, 32.0000000000001, 25.99999999999926, 105.9999999999977, -108.00000000000253, 233.99999999999852, 463.0000000000049, 508.00000000000716, 143.99999999999864, 630.0000000000035, 509.0000000000025, 1442.9999999999914, 1951.9999999999802, 1331.999999999995, 1597.9999999999927, 1439.9999999999968, 1316.0000000000032]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,21195.5,2354.5,0.0,8.0415125,0.2,0.0003,8.677766492564208,-0.01900287607957603,8.694063789019413,-0.08497177448495431,0.013527874762818946,0.7164335572795504,0.0
6,0,0,120000,120000,24000,24000,4000,4000,41.09045245565342,41.09045245565342,24000,24000,120000,4000,120000,False,6,e9ea4_00000,2026-03-03_12-44-19,1772538259,97.35673570632935,573.8721978664398,66016,DESKTOP-1HI26E8,127.0.0.1,573.8721978664398,6,24000,24000,120000,120000,2018.9999999999775,-260.9999999999907,868.409090909086,1000.0,22000,0,4,2018.9999999999775,-260.9999999999907,868.409090909086,4,95636.857,0.0,95636.857,11532.963,84069.736,47.58,28.327,24000,24000,120000,120000,37.781967213114754,43.45737704918032,0.2666393442622951,0.12254238509774398,"[-260.9999999999907, 194.99999999999795, 32.0000000000001, 25.99999999999926, 105.9999999999977, -108.00000000000253, 233.99999999999852, 463.0000000000049, 508.00000000000716, 143.99999999999864, 630.0000000000035, 509.0000000000025, 1442.9999999999914, 1951.9999999999802, 1331.999999999995, 1597.9999999999927, 1439.9999999999968, 1316.0000000000032, 1909.9999999999861, 1714.999999999976, 1901.9999999999745, 2018.9999999999775]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,25905.5,2354.5,0.0,9.902761,0.2,0.0003,8.27541019536887,-0.02185658294818267,8.294116600810089,-0.011409913633026642,0.01575087165496922,0.697076606940312,0.0
6,0,0,140000,140000,28000,28000,4000,4000,41.374296814012766,41.374296814012766,28000,28000,140000,4000,140000,False,7,e9ea4_00000,2026-03-03_12-45-56,1772538356,96.69045281410217,670.562650680542,66016,DESKTOP-1HI26E8,127.0.0.1,670.562650680542,7,28000,28000,140000,140000,2178.9999999999723,-260.9999999999907,961.6249999999936,1000.0,24000,0,2,2178.9999999999723,-260.9999999999907,961.6249999999936,2,95785.646,0.0,95785.646,11642.292,84108.13,47.558,29.225,28000,28000,140000,140000,39.0297520661157,43.593388429752075,0.2757851239669422,0.12182714474316372,"[-260.9999999999907, 194.99999999999795, 32.0000000000001, 25.99999999999926, 105.9999999999977, -108.00000000000253, 233.99999999999852, 463.0000000000049, 508.00000000000716, 143.99999999999864, 630.0000000000035, 509.0000000000025, 1442.9999999999914, 1951.9999999999802, 1331.999999999995, 1597.9999999999927, 1439.9999999999968, 1316.0000000000032, 1909.9999999999861, 1714.999999999976, 1901.9999999999745, 2018.9999999999775, 1794.9999999999852, 2178.9999999999723]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,30615.5,2354.5,0.0,12.695761,0.2,0.0003,8.622153385632103,-0.0218974262967334,8.640997964611985,-0.013496028997336224,0.015264235624640637,0.6454079089144485,0.0
6,0,0,160000,160000,32000,32000,4000,4000,44.095155779382935,44.095155779382935,32000,32000,160000,4000,160000,False,8,e9ea4_00000,2026-03-03_12-47-27,1772538447,90.72742223739624,761.2900729179382,66016,DESKTOP-1HI26E8,127.0.0.1,761.2900729179382,8,32000,32000,160000,160000,3801.999999999939,-260.9999999999907,1405.2666666666528,1000.0,30000,0,6,3801.999999999939,-260.9999999999907,1405.2666666666528,6,95151.554,0.0,95151.554,11684.508,83431.439,47.944,29.356,32000,32000,160000,160000,35.708108108108114,43.69189189189192,0.25333333333333335,0.12575973628733764,"[-260.9999999999907, 194.99999999999795, 32.0000000000001, 25.99999999999926, 105.9999999999977, -108.00000000000253, 233.99999999999852, 463.0000000000049, 508.00000000000716, 143.99999999999864, 630.0000000000035, 509.0000000000025, 1442.9999999999914, 1951.9999999999802, 1331.999999999995, 1597.9999999999927, 1439.9999999999968, 1316.0000000000032, 1909.9999999999861, 1714.999999999976, 1901.9999999999745, 2018.9999999999775, 1794.9999999999852, 2178.9999999999723, 2982.999999999952, 3801.999999999939, 2936.9999999999645, 3256.999999999963, 2962.9999999999595, 3136.9999999999645]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,35325.5,2354.5,0.0,13.493082,0.2,0.0003,8.61053700507826,-0.023957665239098914,8.631231602994752,-0.0010706295633012323,0.016315268342466105,0.6354028203052067,0.0
6,0,0,180000,180000,36000,36000,4000,4000,40.21657934836897,40.21657934836897,36000,36000,180000,4000,180000,False,9,e9ea4_00000,2026-03-03_12-49-06,1772538546,99.474529504776,860.7646024227142,66016,DESKTOP-1HI26E8,127.0.0.1,860.7646024227142,9,36000,36000,180000,180000,3920.9999999999595,-260.9999999999907,1639.6764705882183,1000.0,34000,0,4,3920.9999999999595,-260.9999999999907,1639.6764705882183,4,95630.433,0.0,95630.433,11751.345,83843.38,47.708,29.486,36000,36000,180000,180000,38.80241935483871,43.371774193548376,0.21854838709677418,0.12780406416943754,"[-260.9999999999907, 194.99999999999795, 32.0000000000001, 25.99999999999926, 105.9999999999977, -108.00000000000253, 233.99999999999852, 463.0000000000049, 508.00000000000716, 143.99999999999864, 630.0000000000035, 509.0000000000025, 1442.9999999999914, 1951.9999999999802, 1331.999999999995, 1597.9999999999927, 1439.9999999999968, 1316.0000000000032, 1909.9999999999861, 1714.999999999976, 1901.9999999999745, 2018.9999999999775, 1794.9999999999852, 2178.9999999999723, 2982.999999999952, 3801.999999999939, 2936.9999999999645, 3256.999999999963, 2962.9999999999595, 3136.9999999999645, 2985.999999999952, 3385.9999999999563, 3297.9999999999645, 3920.9999999999595]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,40035.5,2354.5,0.0,13.841156,0.2,0.0003,8.564246352412392,-0.02535246365996287,8.586105093986365,0.04671192283083679,0.017468546571390433,0.6043769130091758,0.0
6,0,0,200000,200000,40000,40000,4000,4000,47.005611717515166,47.005611717515166,40000,40000,200000,4000,200000,False,10,e9ea4_00000,2026-03-03_12-50-32,1772538632,85.10822892189026,945.8728313446045,66016,DESKTOP-1HI26E8,127.0.0.1,945.8728313446045,10,40000,40000,200000,200000,3920.9999999999595,-260.9999999999907,1742.3333333333148,1000.0,36000,0,2,3920.9999999999595,-260.9999999999907,1742.3333333333148,2,94577.012,0.0,94577.012,11798.556,82741.414,48.343,30.439,40000,40000,200000,200000,29.242990654205602,43.44205607476635,0.26028037383177566,0.12886307292641616,"[-260.9999999999907, 194.99999999999795, 32.0000000000001, 25.99999999999926, 105.9999999999977, -108.00000000000253, 233.99999999999852, 463.0000000000049, 508.00000000000716, 143.99999999999864, 630.0000000000035, 509.0000000000025, 1442.9999999999914, 1951.9999999999802, 1331.999999999995, 1597.9999999999927, 1439.9999999999968, 1316.0000000000032, 1909.9999999999861, 1714.999999999976, 1901.9999999999745, 2018.9999999999775, 1794.9999999999852, 2178.9999999999723, 2982.999999999952, 3801.999999999939, 2936.9999999999645, 3256.999999999963, 2962.9999999999595, 3136.9999999999645, 2985.999999999952, 3385.9999999999563, 3297.9999999999645, 3920.9999999999595, 3504.999999999952, 3469.9999999999623]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",127.38853503184713,44745.5,2354.5,0.0,14.683226,0.2,0.0003,8.614219798758278,-0.02583113160664552,8.636651319961386,0.03228585145529162,0.01699800147102402,0.5762809431223859,0.0
